Fechas,Prophet,Test,1 Step,Multiple Step,Arima,Sarima,Pycaret,Skforecast,Skforecast Exogenas,Fast Forward
2023-01-01,563.41,501.61,527.16,527.16,526.77,514.89,522.05,543.3,543.92,566.88
2023-01-02,675.06,617.39,590.93,605.67,561.85,555.4,614.72,626.22,624.27,558.38
2023-01-03,699.07,672.48,656.82,619.82,597.57,591.55,636.18,684.74,688.4,669.1
2023-01-04,705.83,685.39,681.52,617.63,612.24,598.0,642.38,697.66,693.12,686.99
2023-01-05,708.46,666.7,688.99,616.55,622.92,606.58,643.5,700.43,684.59,702.57
2023-01-06,706.8,574.99,660.33,605.02,605.12,579.35,639.97,660.75,654.88,706.61
2023-01-07,642.34,619.84,575.19,551.47,565.58,527.43,581.7,597.41,585.49,646.73
2023-01-08,599.55,608.37,604.59,525.02,554.72,521.96,541.05,563.75,560.26,567.1
2023-01-09,714.3,696.79,691.69,592.05,573.94,553.77,636.98,647.43,652.75,580.37
2023-01-10,740.83,726.43,711.05,590.2,591.14,575.49,656.98,696.36,694.11,683.54
2023-01-11,749.49,734.48,727.52,580.74,604.39,585.28,661.21,692.67,685.14,692.76
2023-01-12,753.35,738.45,735.1,571.31,610.5,590.76,661.03,687.59,667.06,706.75
2023-01-13,752.25,733.39,729.67,536.63,594.82,569.12,656.56,660.01,653.42,712.42
2023-01-14,687.67,657.91,660.73,521.9,573.06,538.25,596.44,608.19,591.47,660.47
2023-01-15,644.09,610.96,608.52,519.56,569.89,534.74,554.28,577.93,548.83,569.43
2023-01-16,757.4,750.15,728.29,553.69,579.15,551.44,651.93,656.33,636.36,595.88
2023-01-17,781.88,753.7,767.94,575.24,589.2,565.17,671.73,694.86,683.07,692.0
2023-01-18,787.91,775.58,752.37,586.32,599.31,572.08,675.35,693.16,687.24,697.8
2023-01-19,788.65,785.12,780.56,584.61,601.31,573.33,674.51,691.76,673.0,708.41
2023-01-20,783.98,753.14,782.52,570.51,590.06,561.27,669.33,658.27,655.84,714.73
2023-01-21,715.46,672.61,665.8,529.92,578.85,545.38,607.54,596.42,591.24,666.01
2023-01-22,667.67,645.0,620.44,522.34,577.63,547.25,564.16,563.27,546.62,568.06
2023-01-23,776.56,782.74,750.42,566.08,582.09,554.35,663.04,651.49,638.96,606.12
2023-01-24,796.52,820.85,801.72,570.85,588.82,559.28,682.68,697.84,704.49,696.71
2023-01-25,798.0,811.59,836.64,565.21,595.5,566.22,685.88,700.49,702.76,701.31
2023-01-26,794.26,812.68,804.71,549.66,595.33,567.1,684.57,698.54,683.99,708.88
2023-01-27,785.25,801.41,812.54,526.69,588.25,555.77,678.88,662.46,662.53,715.49
2023-01-28,712.61,713.93,713.63,519.92,582.5,546.78,615.83,609.01,604.97,666.74
2023-01-29,660.99,671.08,673.04,520.18,581.67,550.63,571.52,587.63,560.18,564.38
2023-01-30,766.41,790.42,790.9,543.65,584.07,554.17,671.33,673.99,670.55,614.32
2023-01-31,783.29,799.23,795.94,568.21,588.72,555.95,690.84,714.44,801.99,699.55
2023-02-01,782.15,797.14,797.79,582.68,592.64,562.78,693.73,718.16,801.07,703.88
2023-02-02,776.24,786.53,791.55,579.47,591.82,564.76,692.06,718.85,792.78,709.29
2023-02-03,765.57,771.44,773.66,565.96,587.68,559.82,686.0,675.8,775.06,716.07
2023-02-04,691.76,679.44,691.01,529.38,584.59,552.19,622.01,618.49,686.13,664.86
2023-02-05,639.45,633.46,626.63,522.02,583.92,550.96,577.01,591.67,647.49,559.26
2023-02-06,744.66,769.94,739.71,557.49,585.45,553.28,677.5,688.14,742.05,622.5
2023-02-07,761.76,802.74,783.36,570.95,588.55,554.81,696.92,727.94,753.12,701.78
2023-02-08,761.26,800.4,816.4,570.8,590.67,557.4,699.57,731.57,758.32,706.21
2023-02-09,756.35,790.02,791.52,556.18,589.87,558.84,697.64,729.57,763.11,710.2
2023-02-10,746.97,786.76,783.69,530.95,587.53,557.95,691.29,689.3,759.44,717.12
2023-02-11,674.71,691.73,703.2,520.43,585.75,554.35,626.6,622.58,687.3,661.39
2023-02-12,624.14,643.94,638.58,520.29,585.27,552.02,581.09,598.16,637.21,552.91
2023-02-13,731.2,759.16,777.72,543.33,586.34,553.85,682.08,698.15,734.05,631.83
2023-02-14,750.23,771.92,763.28,569.24,588.3,556.87,701.43,712.8,753.51,704.18
2023-02-15,751.64,759.94,773.93,581.71,589.39,561.54,703.9,717.37,759.31,708.9
2023-02-16,748.58,751.91,749.15,576.57,588.83,559.35,701.78,719.58,757.4,711.94
2023-02-17,740.94,741.34,746.59,561.5,587.49,555.17,695.21,690.73,745.77,718.93
2023-02-18,670.25,652.88,666.68,527.73,586.4,553.95,630.01,624.65,668.32,656.58
2023-02-19,621.04,599.92,598.23,521.67,586.12,552.19,584.11,590.18,616.97,545.05
2023-02-20,729.21,699.61,703.16,554.64,586.88,550.94,685.47,701.4,719.88,643.09
2023-02-21,749.08,714.51,708.66,572.14,588.06,553.84,704.77,715.78,733.53,707.31
2023-02-22,751.04,719.05,716.41,575.15,588.62,559.25,707.11,718.8,714.83,712.54
2023-02-23,748.23,740.34,712.94,561.53,588.26,558.6,704.84,719.37,705.07,714.86
2023-02-24,740.54,735.93,746.31,536.56,587.47,554.77,698.11,693.46,712.23,721.74
2023-02-25,669.5,665.3,657.79,521.65,586.8,554.69,632.52,625.26,645.68,650.2
2023-02-26,619.67,627.32,613.67,520.48,586.67,555.04,586.34,586.95,602.98,534.99
2023-02-27,726.98,763.33,729.31,544.85,587.18,557.03,687.97,704.14,713.3,656.91
2023-02-28,745.76,768.84,784.56,570.48,587.87,556.2,707.22,725.29,722.49,711.69
2023-03-01,746.45,785.12,769.48,577.37,588.16,555.94,709.46,724.37,713.46,717.78
2023-03-02,742.23,790.87,788.09,567.07,587.94,556.28,707.08,723.13,780.14,719.35
2023-03-03,733.02,767.73,792.14,547.32,587.46,553.87,700.23,698.45,774.1,725.77
2023-03-04,660.41,669.28,683.19,523.95,587.05,551.6,634.36,632.13,690.32,641.45
2023-03-05,609.0,631.39,619.97,520.88,587.0,552.44,587.97,582.79,628.4,521.54
2023-03-06,714.75,734.79,736.37,547.04,587.34,556.13,689.79,698.76,760.88,673.98
2023-03-07,732.05,730.4,737.4,571.53,587.74,556.64,709.02,715.92,781.8,717.8
2023-03-08,731.36,720.67,721.05,581.24,587.89,555.17,711.18,720.52,784.4,725.26
2023-03-09,725.9,711.07,710.05,572.57,587.76,555.93,708.72,719.19,777.77,725.79
2023-03-10,715.62,684.33,698.83,556.02,587.46,556.11,701.78,698.69,776.89,731.1
2023-03-11,642.13,603.38,609.91,525.99,587.22,557.46,635.69,632.35,692.87,628.63
2023-03-12,590.04,552.48,568.29,521.16,587.21,555.09,589.15,583.5,635.65,502.98
2023-03-13,695.34,653.79,625.1,550.71,587.42,553.8,691.12,705.4,747.73,694.95
2023-03-14,712.39,664.6,682.2,573.79,587.65,555.0,710.32,723.94,760.94,725.96
2023-03-15,711.66,665.09,654.83,575.51,587.73,553.95,712.42,724.94,758.86,735.22
2023-03-16,706.37,666.47,664.5,561.65,587.65,552.19,709.9,723.93,759.78,734.07
2023-03-17,696.44,664.55,667.17,536.9,587.46,553.09,702.89,698.35,752.57,737.15
2023-03-18,623.47,598.07,592.05,521.84,587.32,556.34,636.65,632.26,680.33,608.53
2023-03-19,572.02,546.99,551.57,520.49,587.33,555.75,590.0,583.88,626.71,477.57
2023-03-20,678.07,636.84,630.24,544.78,587.46,553.69,692.07,702.12,739.47,719.92
2023-03-21,695.95,662.76,654.88,570.75,587.59,555.04,711.24,719.6,753.73,735.81
2023-03-22,696.11,660.05,660.85,583.1,587.64,555.99,713.31,720.63,755.94,746.7
2023-03-23,691.7,659.95,656.3,577.51,587.58,557.69,710.73,719.27,757.1,743.05
2023-03-24,682.64,660.05,658.2,563.46,587.47,555.45,703.68,695.53,754.03,742.14
2023-03-25,610.49,591.09,590.48,528.48,587.39,553.82,637.33,625.76,671.83,576.64
2023-03-26,559.79,522.94,545.32,521.74,587.4,554.27,590.59,582.06,616.43,446.33
2023-03-27,666.48,637.92,616.94,552.51,587.48,552.91,692.73,692.0,722.0,747.05
2023-03-28,684.9,650.11,672.4,574.29,587.56,551.51,711.89,714.6,738.26,745.86
2023-03-29,685.45,651.65,642.06,578.26,587.58,552.85,713.92,717.19,735.46,757.07
2023-03-30,681.32,654.79,652.35,565.09,587.55,556.36,711.31,720.81,726.19,750.73
2023-03-31,672.39,654.06,655.37,540.61,587.48,555.9,704.22,701.31,725.13,742.85
2023-04-01,600.23,586.8,582.33,522.59,587.43,553.59,637.8,633.83,575.32,531.25
2023-04-02,549.4,544.15,538.84,520.58,587.44,554.44,591.0,583.09,532.89,417.75
2023-04-03,655.85,633.9,628.7,546.63,587.49,555.22,693.18,709.58,628.53,771.47
2023-04-04,673.92,645.78,648.16,571.96,587.53,557.15,712.33,729.23,644.15,754.51
2023-04-05,674.06,634.2,639.47,581.33,587.55,555.15,714.34,730.78,631.46,763.93
2023-04-06,669.46,559.47,630.78,573.35,587.52,553.72,711.7,729.68,640.64,756.23
2023-04-07,660.05,513.14,524.89,556.67,587.48,554.27,704.58,721.33,646.19,735.56
2023-04-08,587.41,526.14,529.37,526.3,587.46,552.72,638.1,646.07,584.13,481.66
2023-04-09,536.14,502.51,521.0,521.29,587.46,551.01,591.27,595.4,545.47,405.21
2023-04-10,642.22,557.51,560.2,552.51,587.49,552.26,693.47,710.89,637.67,787.72
2023-04-11,660.0,625.95,612.53,572.65,587.52,555.89,712.61,731.79,660.37,761.64
2023-04-12,659.97,653.98,659.87,578.39,587.53,555.58,714.6,734.77,645.19,768.04
2023-04-13,655.34,652.54,663.41,566.53,587.51,553.42,711.94,731.11,640.55,760.95
2023-04-14,646.05,657.61,642.89,543.63,587.49,554.33,704.81,723.9,651.99,718.45
2023-04-15,573.69,587.26,598.97,523.22,587.47,554.97,638.29,648.35,587.53,444.97
2023-04-16,522.88,542.1,544.48,520.73,587.48,556.7,591.43,597.01,542.87,417.48
2023-04-17,629.58,628.95,588.76,547.08,587.5,554.66,693.64,703.65,647.47,794.45
2023-04-18,648.17,649.56,673.72,572.24,587.51,553.3,712.77,720.95,661.0,767.48
2023-04-19,649.11,650.88,638.44,578.17,587.52,553.93,714.74,721.48,657.71,771.95
2023-04-20,645.59,652.27,647.03,567.31,587.5,552.49,712.07,715.98,650.87,766.23
2023-04-21,637.55,646.21,651.89,547.27,587.49,550.82,704.93,707.06,648.81,693.81
2023-04-22,566.55,584.74,575.42,524.07,587.48,551.97,638.39,639.07,589.5,428.35
2023-04-23,517.18,538.18,532.43,520.86,587.49,555.49,591.5,592.1,543.11,458.21
2023-04-24,625.39,627.52,616.32,547.53,587.5,555.15,693.73,710.33,655.92,793.61
2023-04-25,645.5,653.08,644.22,572.01,587.51,553.02,712.84,732.31,658.13,771.35
2023-04-26,647.96,656.61,659.17,581.48,587.51,553.99,714.81,732.4,647.76,776.7
2023-04-27,645.92,661.48,656.39,572.73,587.5,554.71,712.13,732.89,651.81,771.86
2023-04-28,639.29,655.53,658.03,555.71,587.49,556.47,704.97,730.01,649.03,664.49
2023-04-29,569.6,585.57,586.45,525.92,587.49,554.36,638.42,649.64,587.96,425.91
2023-04-30,521.42,536.0,542.83,521.13,587.49,552.93,591.52,594.3,549.88,529.58
2023-05-01,630.66,519.62,624.3,551.73,587.5,553.54,693.74,707.63,643.94,785.0
2023-05-02,651.66,618.09,580.53,574.47,587.5,552.12,712.85,726.07,665.9,771.42
2023-05-03,654.81,655.87,627.01,577.27,587.5,550.49,714.8,723.76,663.26,780.07
2023-05-04,653.27,660.6,669.28,564.23,587.5,551.69,712.12,715.0,663.22,775.68
2023-05-05,646.96,655.06,653.9,540.23,587.49,555.22,704.95,705.85,657.45,628.03
2023-05-06,577.4,586.01,587.3,522.58,587.49,554.84,638.39,637.79,598.14,427.79
2023-05-07,529.16,544.4,542.6,520.59,587.49,552.67,591.5,585.43,560.38,627.73
2023-05-08,638.18,638.07,621.35,546.35,587.5,553.62,693.7,692.26,671.9,769.27
2023-05-09,658.78,663.14,661.84,571.94,587.5,554.35,712.8,706.5,672.27,766.01
2023-05-10,661.42,658.86,666.32,583.51,587.5,556.14,714.75,704.1,674.07,776.91
2023-05-11,659.27,652.64,653.75,577.63,587.5,554.06,712.06,697.01,677.89,773.03
2023-05-12,652.25,651.53,649.44,563.22,587.49,552.63,704.89,692.92,672.65,577.71
2023-05-13,581.95,575.65,584.11,528.42,587.49,553.23,638.33,628.82,616.85,421.67
2023-05-14,532.94,537.81,532.14,521.68,587.49,551.77,591.44,577.64,582.31,721.05
2023-05-15,641.21,626.25,617.16,554.59,587.5,550.13,693.63,683.93,678.3,761.0
2023-05-16,661.11,645.29,640.39,573.64,587.5,551.34,712.72,709.36,685.5,763.16
2023-05-17,663.11,637.59,647.11,577.04,587.5,554.89,714.67,713.48,687.54,769.55
2023-05-18,660.42,645.2,635.46,563.5,587.5,554.53,711.97,708.73,684.62,761.34
2023-05-19,652.99,641.3,642.11,538.32,587.49,552.36,704.79,698.66,671.82,514.33
2023-05-20,582.41,571.01,571.46,522.09,587.49,553.3,638.24,631.11,614.38,404.81
2023-05-21,533.29,530.51,532.62,520.49,587.49,554.02,591.35,579.17,585.75,773.63
2023-05-22,641.6,634.24,607.84,546.25,587.5,555.79,693.52,688.46,692.12,762.49
2023-05-23,661.72,648.55,655.18,571.92,587.5,553.71,712.61,708.87,701.96,765.23
2023-05-24,664.11,643.86,649.94,583.03,587.5,552.3,714.55,714.54,693.71,765.01
2023-05-25,661.97,646.07,640.85,577.1,587.5,552.91,711.85,710.49,684.72,741.06
2023-05-26,655.25,631.93,640.94,562.18,587.5,551.46,704.67,694.96,669.27,457.39
2023-05-27,585.51,561.16,561.98,528.07,587.49,549.81,638.13,624.03,615.19,399.89
2023-05-28,537.34,515.84,529.96,521.63,587.5,551.01,591.25,579.69,592.07,792.92
2023-05-29,646.7,615.98,599.01,555.42,587.5,554.55,693.4,687.2,694.38,766.53
2023-05-30,667.94,633.75,640.4,572.08,587.5,554.19,712.48,707.47,709.79,768.3
2023-05-31,671.48,633.33,636.84,574.39,587.5,552.03,714.42,713.56,655.15,765.21
2023-06-01,670.51,644.04,635.64,560.59,587.5,552.98,711.72,714.21,651.41,712.98
2023-06-02,664.92,635.97,643.5,535.23,587.5,553.7,704.54,702.77,631.26,426.68
2023-06-03,596.27,565.13,568.74,521.37,587.5,555.46,638.01,634.55,580.67,423.55
2023-06-04,549.12,523.5,529.73,520.41,587.5,553.38,591.13,582.55,546.89,796.64
2023-06-05,659.41,625.81,601.85,544.86,587.5,551.97,693.26,705.4,623.53,770.66
2023-06-06,681.44,653.96,649.94,570.87,587.5,552.57,712.33,723.25,647.93,772.9
2023-06-07,685.64,668.69,660.83,580.36,587.5,551.13,714.27,720.52,655.53,769.32
2023-06-08,685.17,659.89,671.47,572.73,587.5,549.48,711.56,718.54,652.23,681.81
2023-06-09,679.93,648.81,652.52,556.15,587.5,550.68,704.39,714.68,632.24,419.66
2023-06-10,611.47,577.23,582.34,526.15,587.5,554.23,637.87,640.31,584.74,479.01
2023-06-11,564.34,538.96,536.54,521.32,587.5,553.86,591.0,592.67,549.21,792.24
2023-06-12,674.5,646.89,622.5,551.45,587.5,551.7,693.1,711.14,642.82,772.75
2023-06-13,696.26,664.08,670.53,572.61,587.5,552.65,712.17,731.52,670.21,778.26
2023-06-14,700.07,667.54,663.29,578.67,587.5,553.37,714.1,734.74,668.97,774.4
2023-06-15,699.1,678.25,666.42,567.1,587.5,555.14,711.4,730.24,664.34,648.51
2023-06-16,693.28,689.14,676.52,545.34,587.5,553.06,704.22,725.79,647.72,423.37
2023-06-17,624.19,620.83,613.12,523.57,587.5,551.64,637.72,648.3,591.26,566.07
2023-06-18,576.41,571.24,575.61,520.79,587.5,552.24,590.86,596.88,545.55,779.26
2023-06-19,685.91,678.41,670.38,547.96,587.5,550.8,692.94,708.09,660.61,770.0
2023-06-20,707.05,698.04,695.65,572.22,587.5,549.15,712.0,725.54,671.82,780.06
2023-06-21,710.29,707.72,694.47,577.44,587.5,550.36,713.93,726.67,664.69,776.15
2023-06-22,708.85,701.48,709.89,565.92,587.5,553.9,711.23,723.74,663.09,606.7
2023-06-23,702.66,698.79,690.38,544.41,587.5,553.53,704.05,714.95,658.64,425.69
2023-06-24,633.32,621.85,625.67,523.43,587.5,551.37,637.56,641.47,608.84,670.6
2023-06-25,585.43,609.99,579.91,520.8,587.5,552.32,590.71,591.95,559.45,764.16
2023-06-26,694.97,747.22,703.53,546.92,587.5,553.04,692.77,709.52,662.41,763.89
2023-06-27,716.3,766.38,769.64,571.51,587.5,554.81,711.82,732.58,683.71,774.06
2023-06-28,719.89,771.71,771.48,581.91,587.5,552.73,713.76,732.08,679.36,769.28
2023-06-29,718.93,764.77,768.56,574.08,587.5,551.31,711.05,733.58,676.18,549.54
2023-06-30,713.36,722.72,757.92,558.03,587.5,551.92,703.87,729.45,724.4,414.74
2023-07-01,644.75,641.14,644.32,526.61,587.5,550.47,637.4,648.66,645.73,749.51
2023-07-02,597.67,610.21,605.16,521.3,587.5,548.82,590.56,594.31,603.69,761.29
2023-07-03,708.08,735.74,712.07,551.77,587.5,550.03,692.59,708.92,711.72,763.91
2023-07-04,730.32,747.69,749.07,574.48,587.5,553.57,711.64,726.95,726.68,767.46
2023-07-05,734.81,749.99,748.85,577.01,587.5,553.2,713.57,725.85,725.37,753.56
2023-07-06,734.71,754.3,746.98,563.59,587.5,551.04,710.87,725.1,719.49,485.95
2023-07-07,729.91,745.75,743.56,539.22,587.5,551.99,703.69,721.61,691.69,400.63
2023-07-08,661.97,659.23,670.57,522.35,587.5,552.71,637.24,644.21,628.56,785.15
2023-07-09,615.41,622.84,608.19,520.55,587.5,554.48,590.41,592.92,586.97,764.41
2023-07-10,726.16,772.92,730.23,545.9,587.5,552.4,692.41,705.96,691.49,766.58
2023-07-11,748.52,813.55,794.26,571.58,587.5,550.98,711.46,722.92,698.19,764.77
2023-07-12,752.9,804.62,828.2,583.41,587.5,551.59,713.39,719.61,704.65,729.02
2023-07-13,752.43,791.56,794.94,577.62,587.5,550.14,710.68,718.57,710.98,439.64
2023-07-14,747.0,791.49,787.07,563.33,587.5,548.5,703.51,716.55,702.11,407.84
2023-07-15,678.14,691.36,707.15,528.45,587.5,549.7,637.07,643.35,634.41,795.85
2023-07-16,630.39,632.92,642.61,521.7,587.5,553.24,590.25,593.71,584.39,768.71
2023-07-17,739.68,773.08,757.72,554.57,587.5,552.87,692.23,703.33,695.02,770.3
2023-07-18,760.31,817.95,780.6,573.32,587.5,550.71,711.27,724.11,713.93,766.95
2023-07-19,762.72,831.04,828.57,576.6,587.5,551.66,713.19,724.8,716.13,698.67
2023-07-20,760.07,811.54,835.3,562.98,587.5,552.38,710.49,724.24,710.03,421.19
2023-07-21,752.27,771.1,794.32,537.68,587.5,554.15,703.32,722.13,698.13,446.25
2023-07-22,680.9,675.08,679.52,521.94,587.5,552.07,636.9,642.9,634.07,795.48
2023-07-23,630.53,640.16,613.27,520.47,587.5,550.65,590.1,593.36,584.69,772.11
2023-07-24,737.14,744.23,763.62,545.82,587.5,551.26,692.04,701.84,692.8,775.53
2023-07-25,755.08,713.49,745.64,571.72,587.5,549.81,711.07,718.59,706.73,771.88
2023-07-26,754.83,725.25,737.36,582.24,587.5,548.17,713.0,721.05,706.52,666.63
2023-07-27,749.61,740.03,715.61,575.68,587.5,549.37,710.3,719.79,701.88,420.65
2023-07-28,739.37,731.28,742.67,560.08,587.5,552.91,703.13,713.61,686.98,516.87
2023-07-29,665.74,672.25,658.87,527.34,587.5,552.54,636.72,637.47,620.81,787.23
2023-07-30,613.32,636.99,634.07,521.51,587.5,550.38,589.93,587.14,621.0,772.3
2023-07-31,718.14,727.85,715.25,554.03,587.5,551.33,691.85,694.65,711.41,779.97
2023-08-01,734.59,749.36,736.03,572.26,587.5,552.05,710.88,712.36,726.28,776.03
2023-08-02,733.16,764.68,755.2,575.95,587.5,553.82,712.81,716.6,734.93,630.18
2023-08-03,727.09,739.73,768.8,562.53,587.5,551.74,710.1,721.4,737.41,425.27
2023-08-04,716.36,686.99,728.04,537.72,587.5,550.32,702.94,714.52,730.62,616.08
2023-08-05,642.58,612.97,627.33,521.93,587.5,550.93,636.55,638.69,660.43,771.08
2023-08-06,590.37,590.76,571.76,520.51,587.5,549.48,589.77,590.03,610.1,766.83
2023-08-07,695.74,676.89,684.25,545.46,587.5,547.84,691.66,710.19,714.04,777.96
2023-08-08,713.06,711.92,686.93,571.1,587.5,549.04,710.68,723.97,731.11,774.13
2023-08-09,712.81,732.2,713.3,578.95,587.5,552.58,712.61,725.47,733.08,581.24
2023-08-10,708.2,747.87,735.01,569.68,587.5,552.22,709.91,724.17,732.44,422.19
2023-08-11,699.16,738.06,745.8,551.21,587.5,550.05,702.74,716.82,728.45,714.05
2023-08-12,627.27,676.7,656.34,524.85,587.5,551.0,636.37,642.9,648.27,761.37
2023-08-13,577.12,629.23,629.8,521.02,587.5,551.72,589.61,591.89,594.57,763.15
2023-08-14,684.64,677.55,726.71,548.75,587.5,553.49,691.47,706.52,712.1,770.53
2023-08-15,704.19,630.29,676.7,572.5,587.5,551.41,710.49,725.72,725.35,762.84
2023-08-16,706.19,698.4,697.93,581.01,587.5,550.0,712.41,725.2,724.9,518.45
2023-08-17,703.79,705.51,683.69,571.48,587.5,550.6,709.71,724.46,718.04,406.49
2023-08-18,696.89,706.09,713.78,553.34,587.5,549.15,702.55,720.51,710.03,771.06
2023-08-19,627.03,664.26,636.28,525.29,587.5,547.51,636.2,643.5,641.68,762.5
2023-08-20,578.75,648.87,632.27,520.97,587.5,548.71,589.45,593.22,590.09,765.11
2023-08-21,687.97,741.41,725.69,550.91,587.5,552.25,691.28,703.29,706.11,765.56
