Fechas,Predicciones
2023-08-22,874.081
2023-08-23,884.28674
2023-08-24,893.5155
2023-08-25,877.5436
2023-08-26,865.9092
2023-08-27,763.3843
2023-08-28,703.8904
2023-08-29,831.0877
2023-08-30,840.823
2023-08-31,866.35944
2023-09-01,849.2337
2023-09-02,843.8437
2023-09-03,749.61993
2023-09-04,689.24054
2023-09-05,834.9252
2023-09-06,849.11816
2023-09-07,878.95294
2023-09-08,855.09784
2023-09-09,869.02795
2023-09-10,746.0615
2023-09-11,697.126
2023-09-12,814.17926
2023-09-13,818.9747
2023-09-14,809.0369
2023-09-15,779.34406
2023-09-16,781.80554
2023-09-17,695.54834
2023-09-18,648.4888
2023-09-19,761.124
2023-09-20,802.6265
2023-09-21,859.7861
2023-09-22,855.6117
2023-09-23,878.4406
2023-09-24,781.42163
2023-09-25,691.786
2023-09-26,832.9889
2023-09-27,806.4544
2023-09-28,825.44745
2023-09-29,838.8237
2023-09-30,810.64923
2023-10-01,752.59827
2023-10-02,671.7188
2023-10-03,788.91187
2023-10-04,815.2417
2023-10-05,827.6439
2023-10-06,814.05664
2023-10-07,785.94446
2023-10-08,685.25464
2023-10-09,614.0105
2023-10-10,748.5023
2023-10-11,773.6202
2023-10-12,793.21356
2023-10-13,800.0914
2023-10-14,788.7031
2023-10-15,691.88824
2023-10-16,627.52795
2023-10-17,729.3762
2023-10-18,772.37695
2023-10-19,772.3533
2023-10-20,767.002
2023-10-21,741.0309
2023-10-22,654.67303
2023-10-23,596.91815
2023-10-24,720.6735
2023-10-25,733.6948
2023-10-26,737.9072
2023-10-27,732.2744
2023-10-28,728.606
2023-10-29,656.8021
2023-10-30,595.1875
2023-10-31,702.6057
2023-11-01,731.2597
2023-11-02,737.3847
2023-11-03,726.3485
2023-11-04,728.7663
2023-11-05,655.1312
2023-11-06,602.4955
2023-11-07,696.4169
2023-11-08,710.39716
2023-11-09,716.3278
2023-11-10,684.7289
2023-11-11,577.3909
2023-11-12,583.3304
2023-11-13,555.76324
2023-11-14,601.7644
2023-11-15,692.4111
2023-11-16,719.6319
2023-11-17,713.55994
2023-11-18,713.418
2023-11-19,648.81604
2023-11-20,580.1143
2023-11-21,656.0268
2023-11-22,667.9504
2023-11-23,723.8751
2023-11-24,724.7952
2023-11-25,720.7292
2023-11-26,640.2568
2023-11-27,586.8304
2023-11-28,683.6301
2023-11-29,725.5194
2023-11-30,730.2668
2023-12-01,731.5872
2023-12-02,726.1106
2023-12-03,651.03687
2023-12-04,608.4849
2023-12-05,689.51575
2023-12-06,717.3329
2023-12-07,722.6373
2023-12-08,735.3334
2023-12-09,723.2788
2023-12-10,638.596
2023-12-11,588.6207
2023-12-12,687.82495
2023-12-13,741.19165
2023-12-14,757.48486
2023-12-15,764.31104
2023-12-16,765.52795
2023-12-17,669.23065
2023-12-18,602.5205
2023-12-19,719.0803
2023-12-20,728.35126
2023-12-21,742.72437
2023-12-22,730.9042
2023-12-23,724.591
2023-12-24,653.7056
2023-12-25,599.2837
2023-12-26,695.9386
2023-12-27,732.23206
2023-12-28,730.9809
2023-12-29,722.17316
2023-12-30,721.5149
2023-12-31,653.1376
2024-01-01,599.7437
2024-01-02,706.6341
2024-01-03,719.3467
2024-01-04,783.19543
2024-01-05,785.13837
2024-01-06,777.70337
2024-01-07,696.73956
2024-01-08,632.1257
2024-01-09,746.78015
2024-01-10,790.1188
2024-01-11,820.3294
2024-01-12,805.3933
2024-01-13,741.1627
2024-01-14,656.4931
2024-01-15,655.1514
2024-01-16,779.54443
2024-01-17,847.3402
2024-01-18,846.3831
2024-01-19,819.9511
2024-01-20,819.7917
2024-01-21,730.8832
2024-01-22,678.7852
2024-01-23,787.14453
2024-01-24,767.8308
2024-01-25,818.55273
2024-01-26,827.67725
2024-01-27,801.6615
2024-01-28,720.91345
2024-01-29,650.8663
2024-01-30,777.6791
2024-01-31,820.235
2024-02-01,831.76355
2024-02-02,777.8175
2024-02-03,784.0893
2024-02-04,711.1171
2024-02-05,663.1969
2024-02-06,775.2764
2024-02-07,760.8334
2024-02-08,782.4499
2024-02-09,775.29504
2024-02-10,797.2537
2024-02-11,691.3653
2024-02-12,619.85785
2024-02-13,732.4427
2024-02-14,705.6913
2024-02-15,808.89404
2024-02-16,790.0114
2024-02-17,789.44836
2024-02-18,702.8909
2024-02-19,635.47375
2024-02-20,748.34406
2024-02-21,761.9469
2024-02-22,753.43536
2024-02-23,761.86017
2024-02-24,775.55505
2024-02-25,695.4042
2024-02-26,644.70966
2024-02-27,756.0936
2024-02-28,751.4901
2024-02-29,753.5337
2024-03-01,752.0816
2024-03-02,768.5024
2024-03-03,680.35394
2024-03-04,628.643
2024-03-05,737.83704
2024-03-06,683.3626
2024-03-07,773.9028
2024-03-08,776.9867
2024-03-09,773.7
2024-03-10,717.6863
2024-03-11,685.6972
2024-03-12,768.3722
2024-03-13,779.58325
2024-03-14,795.4963
2024-03-15,797.6146
2024-03-16,791.5704
2024-03-17,698.1337
2024-03-18,612.6133
2024-03-19,743.9317
2024-03-20,783.0096
2024-03-21,805.7715
2024-03-22,797.9609
2024-03-23,793.5399
2024-03-24,686.4654
2024-03-25,613.84595
2024-03-26,739.16205
2024-03-27,764.5673
2024-03-28,792.0622
2024-03-29,802.0002
2024-03-30,777.7736
2024-03-31,701.821
2024-04-01,651.002
2024-04-02,761.7849
2024-04-03,802.82086
2024-04-04,820.09454
2024-04-05,819.10315
2024-04-06,812.99854
2024-04-07,723.01166
2024-04-08,648.6099
2024-04-09,756.18964
2024-04-10,734.0884
2024-04-11,755.7931
2024-04-12,762.6555
2024-04-13,773.40063
2024-04-14,680.092
2024-04-15,599.36584
2024-04-16,709.86847
2024-04-17,755.65564
2024-04-18,771.344
2024-04-19,756.34705
2024-04-20,752.773
2024-04-21,672.63
2024-04-22,612.24243
2024-04-23,725.2092
2024-04-24,749.9934
2024-04-25,757.1905
2024-04-26,761.24133
2024-04-27,760.8129
2024-04-28,662.4639
2024-04-29,592.91644
2024-04-30,703.54407
2024-05-01,732.29535
2024-05-02,736.1238
2024-05-03,697.36145
2024-05-04,734.1333
2024-05-05,660.16833
2024-05-06,587.9491
2024-05-07,701.96704
2024-05-08,732.61646
2024-05-09,737.7001
2024-05-10,737.0117
2024-05-11,733.21985
2024-05-12,657.3629
2024-05-13,598.75586
2024-05-14,701.2775
2024-05-15,725.8372
2024-05-16,715.7573
2024-05-17,747.7147
2024-05-18,743.0102
2024-05-19,656.73975
2024-05-20,601.826
2024-05-21,721.10144
2024-05-22,630.67706
2024-05-23,698.7891
2024-05-24,746.6617
2024-05-25,739.02673
2024-05-26,667.31006
2024-05-27,616.9968
2024-05-28,713.23285
2024-05-29,742.6686
2024-05-30,767.21826
2024-05-31,749.52734
2024-06-01,757.20435
2024-06-02,660.9146
2024-06-03,609.0285
2024-06-04,710.9421
2024-06-05,755.5002
2024-06-06,763.12256
2024-06-07,758.2737
2024-06-08,754.9408
2024-06-09,682.1818
2024-06-10,629.23236
2024-06-11,737.5575
2024-06-12,760.247
2024-06-13,781.6025
2024-06-14,763.6143
2024-06-15,770.1987
2024-06-16,685.0399
2024-06-17,631.21094
2024-06-18,756.84296
2024-06-19,799.56335
2024-06-20,806.57935
2024-06-21,795.4535
2024-06-22,791.2281
2024-06-23,709.5272
2024-06-24,660.5231
2024-06-25,775.0
2024-06-26,746.85834
2024-06-27,753.4397
2024-06-28,722.94965
2024-06-29,736.9522
2024-06-30,704.93414
2024-07-01,673.065
2024-07-02,789.8578
2024-07-03,812.1507
2024-07-04,821.79675
2024-07-05,801.48
2024-07-06,816.4245
2024-07-07,730.7204
2024-07-08,673.0655
2024-07-09,815.17883
2024-07-10,832.4222
2024-07-11,838.1383
2024-07-12,796.01135
2024-07-13,770.17596
2024-07-14,683.14984
2024-07-15,610.2601
2024-07-16,682.12134
2024-07-17,695.61005
2024-07-18,768.8927
2024-07-19,755.4589
2024-07-20,744.47516
2024-07-21,665.2144
2024-07-22,607.3221
2024-07-23,709.3889
2024-07-24,747.14374
2024-07-25,793.9802
2024-07-26,792.1147
2024-07-27,746.4997
2024-07-28,656.41046
2024-07-29,662.6525
2024-07-30,796.8043
2024-07-31,826.7439
2024-08-01,845.6474
2024-08-02,857.43396
2024-08-03,848.09485
2024-08-04,760.80396
2024-08-05,707.903
2024-08-06,863.5339
2024-08-07,871.1392
2024-08-08,852.9581
2024-08-09,838.74036
2024-08-10,837.313
2024-08-11,743.0665
2024-08-12,686.668
2024-08-13,775.221
2024-08-14,825.2746
2024-08-15,834.92035
2024-08-16,833.8086
2024-08-17,835.2347
2024-08-18,754.0414
2024-08-19,699.6537
2024-08-20,837.38745
