,Fecha,Importacion Francia,Exportacion Francia,Importacion Portugal,Exportacion Portugal,Importacion Marruecos,Exportacion Marruecos,Importacion Andorra,Exportacion Andorra
0,2012-05-01,447.06,-213.03,229.83,-938.56,0.11,-419.67,0.0,-10.98
1,2012-06-01,576.57,-99.9,258.23,-940.76,0.04,-409.67,0.0,-9.84
2,2012-07-01,597.23,-100.17,174.65,-831.04,0.0,-470.13,0.0,-0.06
3,2012-08-01,489.4,-154.85,268.42,-725.32,0.0,-509.04,0.0,-14.83
4,2012-09-01,267.4,-197.85,221.0,-838.71,0.0,-482.0,0.0,-17.13
5,2012-10-01,144.99,-418.59,125.39,-946.39,0.91,-328.45,0.0,-35.07
6,2012-11-01,210.58,-389.34,435.97,-600.3,0.04,-411.88,0.0,-36.47
7,2012-12-01,338.0,-366.42,390.89,-985.77,0.01,-420.3,0.0,-36.56
8,2013-01-01,407.64,-313.31,667.21,-621.45,0.0,-475.37,0.0,-29.17
9,2013-02-01,162.13,-468.71,566.69,-467.98,0.17,-404.31,0.0,-30.37
10,2013-03-01,16.36,-656.15,881.0,-262.15,0.9,-380.02,0.0,-30.36
11,2013-04-01,127.51,-591.31,791.47,-266.16,0.0,-446.48,0.0,-26.21
12,2013-05-01,643.1,-143.94,386.32,-536.18,0.0,-463.56,0.0,-17.8
13,2013-06-01,610.7,-58.14,247.83,-687.13,0.0,-460.3,0.0,-11.65
14,2013-07-01,542.52,-21.99,91.9,-1183.51,0.0,-487.26,0.0,-2.09
15,2013-08-01,708.94,-36.83,242.53,-900.29,0.0,-499.11,0.0,-32.91
16,2013-09-01,500.41,-102.83,187.61,-896.45,0.0,-478.59,0.0,-32.02
17,2013-10-01,422.18,-138.34,308.94,-838.99,0.01,-400.38,0.0,-32.54
18,2013-11-01,168.19,-444.14,437.91,-608.62,0.01,-431.05,0.0,-15.2
19,2013-12-01,569.39,-195.5,514.07,-831.21,0.03,-450.64,0.0,-27.07
20,2014-01-01,213.28,-474.99,1168.21,-396.74,0.29,-454.88,0.0,-27.07
21,2014-02-01,31.78,-667.56,880.39,-214.98,0.0,-488.83,0.0,-31.34
22,2014-03-01,225.58,-413.45,805.38,-309.57,0.18,-498.73,0.0,-35.33
23,2014-04-01,61.35,-220.93,467.01,-488.36,0.29,-462.24,0.0,-9.35
24,2014-05-01,28.67,-0.01,8.46,-9.05,0.0,-16.51,0.0,-0.23
25,2014-05-01,686.96,-48.92,256.92,-641.77,0.0,-510.52,0.0,-10.41
26,2014-06-01,684.64,-18.17,303.82,-747.9,0.04,-494.17,0.0,-13.84
27,2014-07-01,730.76,-36.21,251.76,-957.31,0.59,-459.7,0.0,-11.61
28,2014-08-01,816.65,-3.96,308.21,-825.48,0.71,-516.76,0.0,-16.06
29,2014-09-01,786.3,-29.18,315.86,-820.83,0.0,-580.13,0.0,-8.28
30,2014-10-01,564.63,-56.93,295.49,-704.31,0.07,-390.23,0.0,-12.27
31,2014-11-01,618.42,-162.0,726.11,-469.47,0.1,-487.13,0.0,-30.66
32,2014-12-01,513.74,-262.95,557.11,-661.65,0.27,-479.11,0.0,-28.07
33,2015-01-01,733.14,-112.78,408.74,-907.7,2.66,-354.78,0.0,-28.38
34,2015-02-01,172.0,-553.12,732.87,-518.74,0.8,-365.46,0.0,-27.21
35,2015-03-01,351.27,-301.75,610.2,-613.61,1.06,-407.53,0.0,-36.41
36,2015-04-01,559.22,-149.36,377.08,-634.7,0.07,-440.87,0.0,-6.98
37,2015-05-01,838.62,-21.48,424.37,-545.19,0.01,-514.51,0.0,-1.04
38,2015-06-01,773.13,-23.29,353.11,-748.9,0.75,-350.1,0.0,-3.82
39,2015-07-01,778.87,-109.27,444.29,-829.43,2.41,-471.04,0.0,-0.0
40,2015-08-01,727.35,-41.44,349.17,-733.38,0.11,-521.35,0.0,-32.26
41,2015-09-01,564.61,-96.29,356.83,-598.04,2.82,-371.82,0.0,-28.06
42,2015-10-01,676.21,-193.85,753.52,-411.15,0.56,-349.12,0.0,-39.64
43,2015-11-01,1264.81,-181.0,460.98,-649.09,0.98,-412.61,0.0,-30.96
44,2015-12-01,1691.66,-23.05,539.54,-887.19,1.91,-381.86,0.0,-29.29
45,2016-01-01,906.53,-520.74,1305.51,-402.61,0.65,-415.77,0.0,-25.99
46,2016-02-01,888.76,-505.73,1277.55,-256.7,0.1,-419.81,0.0,-23.58
47,2016-03-01,746.0,-452.9,797.91,-440.62,0.32,-437.49,0.0,-38.29
48,2016-04-01,430.94,-811.01,949.06,-198.0,0.1,-467.75,0.0,-10.01
49,2016-05-01,0.0,-57.14,20.58,-14.18,0.0,-16.66,0.0,-0.29
50,2016-05-01,924.3,-223.07,830.41,-199.91,0.16,-492.49,0.0,-9.22
51,2016-06-01,1210.4,-16.72,619.84,-218.85,0.26,-504.99,0.0,-6.67
52,2016-07-01,1338.23,-29.7,617.84,-505.03,1.5,-492.48,0.0,-12.63
53,2016-08-01,1404.55,-12.11,633.41,-395.61,0.03,-557.99,0.0,-37.63
54,2016-09-01,1285.46,-64.83,590.15,-397.25,0.45,-266.02,0.0,-26.65
55,2016-10-01,734.83,-689.45,515.37,-546.03,0.0,-416.36,0.0,-32.14
56,2016-11-01,948.02,-577.85,768.24,-485.28,0.64,-262.19,0.0,-34.37
57,2016-12-01,1317.31,-372.57,775.72,-555.44,3.72,-209.2,0.0,-20.82
58,2017-01-01,505.55,-856.01,840.39,-590.55,1.27,-400.97,0.0,-31.23
59,2017-02-01,896.21,-490.59,917.19,-276.99,0.12,-479.93,0.0,-24.87
60,2017-03-01,1815.84,-115.81,683.73,-376.18,0.02,-532.85,0.01,-17.68
61,2017-04-01,1517.3,-35.85,576.25,-466.77,0.05,-537.46,0.0,-12.57
62,2017-05-01,1861.64,-5.59,614.05,-441.53,0.03,-569.4,0.01,-14.2
63,2017-06-01,1446.79,-15.9,631.53,-388.76,0.28,-533.29,0.0,-11.78
64,2017-07-01,1416.44,-15.41,812.15,-343.76,0.0,-595.55,0.0,-0.42
65,2017-08-01,1706.73,-1.62,901.02,-151.55,0.12,-590.21,0.0,-36.59
66,2017-09-01,1643.49,-9.62,604.18,-351.87,0.9,-484.04,0.0,-9.72
67,2017-10-01,1214.4,-145.47,373.77,-719.71,0.5,-410.05,0.0,-30.45
68,2017-11-01,764.02,-803.79,654.13,-592.68,0.59,-356.58,0.0,-15.91
69,2017-12-01,775.82,-603.44,581.79,-804.75,4.29,-265.93,0.0,-27.71
70,2018-01-01,1883.72,-73.1,685.31,-660.82,0.42,-470.43,0.0,-24.8
71,2018-02-01,1549.51,-233.49,620.67,-660.97,0.7,-394.01,0.0,-25.31
72,2018-03-01,374.64,-1090.74,1186.77,-311.26,1.76,-396.03,0.0,-38.76
73,2018-04-01,1231.09,-187.86,688.36,-450.78,2.51,-381.15,0.0,-19.57
74,2018-05-01,69.59,-0.12,5.37,-30.37,0.01,-9.46,0.0,-0.48
75,2018-05-01,1821.91,-33.15,451.33,-499.14,1.22,-396.84,0.0,-11.52
76,2018-06-01,1577.47,-7.76,739.93,-244.92,9.07,-209.7,0.0,-0.14
77,2018-07-01,1760.88,-18.16,829.17,-231.95,0.6,-446.59,0.0,-0.23
78,2018-08-01,1295.55,-170.2,658.24,-333.34,9.52,-211.15,0.0,-4.61
79,2018-09-01,1388.27,-118.16,593.28,-483.83,10.19,-261.94,0.0,-3.34
80,2018-10-01,668.79,-428.7,462.62,-615.37,16.19,-259.56,0.0,-26.45
81,2018-11-01,582.27,-711.52,752.3,-511.43,51.16,-87.55,0.0,-30.55
82,2018-12-01,1310.2,-394.32,650.75,-634.79,76.75,-44.72,0.0,-24.69
83,2019-01-01,921.25,-610.74,513.96,-673.27,145.22,-23.34,0.0,-26.72
84,2019-02-01,1724.66,-173.94,143.93,-846.21,189.67,-10.36,0.0,-15.98
85,2019-03-01,2037.63,-36.65,171.31,-959.9,220.2,-8.04,0.0,-32.38
86,2019-04-01,1357.29,-49.02,344.71,-654.4,120.62,-14.1,0.0,-13.98
87,2019-05-01,1134.65,-41.45,331.34,-741.14,107.31,-30.2,0.0,-12.72
88,2019-06-01,826.08,-21.85,204.92,-523.93,87.28,-27.32,0.0,-8.3
89,2019-07-01,836.6,-59.45,333.21,-492.7,76.22,-35.29,0.0,-1.49
90,2019-08-01,1017.65,-43.58,177.4,-764.53,83.19,-104.58,0.0,-16.75
91,2019-09-01,980.0,-167.8,244.16,-857.27,17.57,-96.88,0.0,-21.82
92,2019-10-01,1146.52,-153.0,314.72,-708.21,26.5,-30.78,0.0,-14.82
93,2019-11-01,341.6,-873.55,716.04,-516.88,82.19,-24.24,0.0,-22.56
94,2019-12-01,489.22,-885.27,1204.26,-360.59,51.75,-29.8,0.0,-20.77
95,2020-01-01,1313.56,-339.95,963.58,-466.12,63.79,-28.04,0.0,-24.44
96,2020-02-01,1287.96,-111.73,488.11,-635.31,49.33,-23.39,0.0,-19.2
97,2020-03-01,1196.47,-406.78,470.68,-697.08,25.94,-73.14,0.0,-22.31
98,2020-04-01,1074.29,-282.67,293.47,-807.25,15.84,-54.25,0.0,-6.99
99,2020-05-01,1.96,-52.05,6.87,-40.48,0.17,-3.15,0.0,-0.17
100,2020-05-01,1447.02,-94.58,272.51,-837.72,19.47,-35.1,0.01,-1.08
101,2020-06-01,1057.68,-264.85,240.77,-743.65,25.69,-46.73,0.0,-0.01
102,2020-07-01,802.62,-467.89,175.24,-922.37,20.43,-53.81,0.0,-5.05
103,2020-08-01,705.36,-644.8,428.88,-622.87,33.05,-113.19,0.0,-26.11
104,2020-09-01,300.67,-1055.45,584.2,-423.58,35.1,-40.9,0.0,-25.67
105,2020-10-01,696.88,-770.64,662.51,-449.41,35.03,-51.05,0.0,-15.16
106,2020-11-01,975.44,-552.41,947.59,-249.4,47.64,-63.05,0.0,-14.89
107,2020-12-01,561.81,-1148.65,562.47,-658.31,38.28,-120.83,0.0,-35.08
108,2021-01-01,1156.84,-674.97,531.56,-815.58,73.12,-17.65,0.0,-38.42
109,2021-02-01,207.62,-1192.25,1116.69,-257.55,25.97,-34.67,0.0,-28.39
110,2021-03-01,888.62,-721.06,587.91,-579.38,60.56,-23.91,0.0,-22.89
111,2021-04-01,944.49,-530.48,491.79,-674.74,63.42,-25.8,0.0,-12.11
112,2021-05-01,1357.76,-316.2,217.39,-1048.17,81.75,-23.48,0.0,-0.0
113,2021-06-01,1431.25,-111.02,329.29,-653.82,57.12,-34.08,0.0,-5.13
114,2021-07-01,1413.91,-147.44,223.33,-781.15,52.96,-91.59,0.0,-3.55
115,2021-08-01,1765.28,-14.67,125.44,-1150.74,33.17,-78.43,0.0,-19.02
116,2021-09-01,1272.57,-78.4,187.78,-880.46,27.0,-72.19,0.0,-11.13
117,2021-10-01,909.27,-139.74,201.87,-1082.41,71.67,-12.66,0.0,-15.2
118,2021-11-01,281.96,-1093.75,335.84,-804.36,51.17,-53.17,0.0,-28.63
119,2021-12-01,301.69,-1260.8,442.88,-815.13,90.28,-41.77,0.0,-40.65
120,2022-01-01,519.85,-946.99,254.06,-1025.54,102.02,-44.9,0.0,-38.48
121,2022-02-01,1212.91,-228.85,61.86,-1434.86,40.06,-84.23,0.0,-34.8
122,2022-03-01,597.97,-867.8,298.92,-900.28,61.94,-39.91,0.0,-31.13
123,2022-04-01,274.87,-1057.78,243.44,-1008.27,47.84,-70.42,0.0,-16.54
124,2022-05-01,3.81,-50.64,5.05,-40.59,2.2,-1.22,0.0,-0.21
125,2022-05-01,460.9,-793.03,190.72,-1046.72,60.24,-99.21,0.0,-5.15
126,2022-06-01,356.12,-619.06,105.24,-1079.41,15.16,-220.24,0.0,-16.54
127,2022-07-01,143.17,-1106.96,70.12,-1353.9,20.54,-173.41,0.0,-22.26
128,2022-08-01,32.22,-1484.15,87.93,-1122.14,6.22,-297.82,0.0,-20.35
129,2022-09-01,10.93,-1763.23,159.14,-1020.32,9.11,-252.51,0.0,-19.78
130,2022-10-01,359.52,-1236.97,227.98,-1148.48,6.27,-253.45,0.0,-20.36
131,2022-11-01,257.41,-1442.4,416.54,-731.11,20.4,-134.56,0.0,-20.18
132,2022-12-01,319.33,-1781.76,938.64,-403.6,30.89,-180.86,0.0,-39.88
133,2023-01-01,315.2,-1252.1,812.21,-623.88,19.64,-151.33,0.0,-42.45
134,2023-02-01,344.67,-937.17,570.79,-692.82,26.98,-214.09,0.0,-21.21
135,2023-03-01,206.57,-1369.9,136.38,-1423.08,26.56,-160.26,0.0,-23.11
136,2023-04-01,240.68,-1077.19,56.4,-1460.83,49.98,-155.46,0.0,-14.63
137,2023-05-01,581.44,-730.86,65.52,-1464.37,49.29,-165.0,0.0,-10.91
138,2023-06-01,611.58,-541.18,130.46,-1227.19,60.11,-102.81,0.0,-2.08
139,2023-07-01,1091.36,-214.3,58.47,-1253.18,27.09,-201.81,0.0,-19.23
